,time,reward_mean,reward_std
0,67.83248138427734,-0.82,0.639
1,373.53002738952637,-0.47,0.754
2,673.770486831665,-0.85,0.328
3,974.196191072464,-0.603,0.803
4,1273.7744510173798,-0.705,0.451
5,1573.334532737732,-0.4,0.519
6,1873.1361804008484,-0.285,0.503
7,2176.267381668091,-0.013,0.021
8,2475.9362304210663,-0.5,0.514
9,2776.14621591568,-0.973,0.163
10,3076.5385823249817,-0.497,0.629
11,3377.398197412491,0.07,0.136
12,3677.764460325241,-0.708,0.796
13,3980.424165725708,-0.057,0.428
14,4280.475077629089,-0.833,0.334
15,4581.071778297424,-0.568,0.565
16,4881.771306753159,-0.725,0.599
17,5181.949682474136,-0.272,0.592
18,5482.376074790955,-1.203,0.801
19,5785.413442134857,-0.51,0.708
20,6085.625267505646,-0.54,0.799
21,6385.480590105057,-0.323,0.432
22,6685.763392925262,-0.765,0.594
23,6985.597797632217,-0.555,0.646
24,7286.935145378113,-0.527,0.623
25,7589.573588609695,-0.568,0.526
26,7890.190549612045,-0.365,0.758
27,8190.133708000183,-0.79,0.842
28,8490.50131893158,-0.435,0.703
29,8790.755111694336,-1.185,1.07
