Resetting envs
Envs resetted
Total steps: 0
Total steps: 2400
Total steps: 4800
Total steps: 7200
Total steps: 9600
Total steps: 12000
Total steps: 14400
Total steps: 16800
Total steps: 19200
Total steps: 21600
Total steps: 24000
Total steps: 26400
Total steps: 28800
Total steps: 31200
Total steps: 33600
Total steps: 36000
Total steps: 38400
Total steps: 40800
Total steps: 43200
Total steps: 45600
Total steps: 48000
Total steps: 50400
Total steps: 52800
Total steps: 55200
Total steps: 57600
Total steps: 60000
Total steps: 62400
Total steps: 64800
Total steps: 67200
Total steps: 69600
Total steps: 72000
Total steps: 74400
Total steps: 76800
Total steps: 79200
Total steps: 81600
Total steps: 84000
Total steps: 86400
Total steps: 88800
Total steps: 91200
Total steps: 93600
Total steps: 96000
Total steps: 98400
Total steps: 100800
Total steps: 103200
Total steps: 105600
Total steps: 108000
Total steps: 110400
Total steps: 112800
Total steps: 115200
Total steps: 117600
Total steps: 120000
Total steps: 122400
Total steps: 124800
Total steps: 127200
Total steps: 129600
Total steps: 132000
Total steps: 134400
Total steps: 136800
Total steps: 139200
Total steps: 141600
Total steps: 144000
Total steps: 146400
Total steps: 148800
Total steps: 151200
Total steps: 153600
Total steps: 156000
Total steps: 158400
Total steps: 160800
Total steps: 163200
Total steps: 165600
Total steps: 168000
Total steps: 170400
Total steps: 172800
Total steps: 175200
Total steps: 177600
Total steps: 180000
Total steps: 182400
Total steps: 184800
Total steps: 187200
Total steps: 189600
Total steps: 192000
Total steps: 194400
Total steps: 196800
Total steps: 199200
Total steps: 201600
Total steps: 204000
Total steps: 206400
Total steps: 208800
Total steps: 211200
Total steps: 213600
Total steps: 216000
Total steps: 218400
Total steps: 220800
Total steps: 223200
Total steps: 225600
Total steps: 228000
Total steps: 230400
Total steps: 232800
Total steps: 235200
Total steps: 237600
Total steps: 240000
Total steps: 242400
Total steps: 244800
Total steps: 247200
Total steps: 249600
Total steps: 252000
Total steps: 254400
Total steps: 256800
Total steps: 259200
Total steps: 261600
